WER ,,,,CER,,
2309241367,"গুজবে প্রকাশ, স্বয়ং জিবরাইল (আঃ) তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন।",গুজবে প্রকার স্বায়ং জ ইব্রাইল আলাইহিস সালাম তাড়াতাড়ি পৃথিবীতে দৌড়ে আসেন,,2310301391,"রাবেয়া আপনমনে ঠোঁট টিপে হাসে, নড়েচড়ে আরাম করে শোয়।",র‍্যাবে আপন মনে ঠোঁট টিপে হাসে নড়ে চড়ে আআরামকরে সই
2310011175,"দুর্গ গড়ে তোলো',",দুর্গ গড়ে তোলো,,2310301756,তবে সব খোদারই রহমত।,তাবে সব ক্ষুদা রই রহমত
2310011229,তাঁদের বাড়িতে আমি প্রায়ই যাওয়া-আসা করতাম।,তাদের বাড়িতে আমি প্রায়ই আসে যাওয়া করতাম,,2310302550,না না। গোড়ায় গলদ।,না না কোড়াই গলদ
2310011399,সারা রাত বিছানায় শুয়ে-বসে কাটালাম।,সারারাত বিছানায় শুয়ে বসে কাটালাম,,2310111082,"পানি,  পানি একটু পানি নিয়ে আয়।",পানি পানি একটু নিয়ায়
2310021539,আরিচা ঘাট পেরোনো প্রায় অসম্ভব।,আরিচাঘাট পেরানো প্রায় অসম্ভব,,2311021824,ইউ আর ওয়েল কাম।'- পিচ্চি প্রত্যুত্তর দেয়।,আর ওয়েলকাম পিছিয়ে প্রতোত্তর দেয়
2310071269,"তেমনই কাপড়চোপড় গায়ে, বাতাসে আলখেল্লা ঝুলিয়ে ঘুরে বেড়াচ্ছে আবালবৃদ্ধবনিতা ।",তেমনি কাপড়চোপড় গায়ে বাতাসে আল খেলনা ঝুলিয়ে ঘুরে বেড়াচ্ছে আবাল বৃদ্ধ বণিতা,,2310071546,এর মাঝে নজরে আসে ৩০০০ বছরের পুরনো বাথটাব।,এর মাঝে নজরে আসে তিন হাজার বছর পুরনো বাট্টা
2310071330,"সমানে চলছে বিকিকিনি,",সামনে চলছে বিকি কিনি,,2310071864,"বোদলেয়ার শরীরে নেন বিষের পর বিষ,",বদলি আর সইরে নেন বিশের পণ বিশ
2310071368,যায় কেবলমাত্র অনুভব করা ।,যাই কেবল মাত্র অনুভব করতে,,2309241221,ইতোমধ্যে সরকারব্যাংকসমূহে ৪০৮৩ কোটি টাকার বন্ড দিয়েছে।,ইতোমধ্যে সরকার ব্যাংকসমূহে চার হাজার তিরাশি কোটি টাকার বন্ড দিয়েছে
2310071738,"শিশুমনের কল্পনায় ভেসে উঠত গাছ-গাছালি ছাওয়া কোনো জঙ্গুলে জায়গার কথা,",শিশু মনের কল্পনায় ভেসে উঠত গাছ গাছে লে যাওয়া কোনো জঙ্গলে যাওয়ার কথা,,2310111047,"চুপ, চুপ নালায়েক মেয়ে।",চুপ চুপ না লাইকমে
2310071818,"ফিরেছে পাখপাখালিরাও,",ফিরেছে পাক পাখালীরাও,,2311022040,"সীমা চিৎকবার করে উঠল, এই তুমি খুবই খবিস আছো।",সীমা চিৎকার করে উঠল এই তুমি কিন্তু খুব খুবই সাছো
2310071864,"বোদলেয়ার শরীরে নেন বিষের পর বিষ,",বদলি আর সইরে নেন বিশের পণ বিশ,,2309231171,১৮৩৪ সালে গরীব আইন সংশোধন করে নগদ সাহায্য দেওয়া বন্ধ করে দেওয়া হয়।,আঠারোশো চৌত্রিশ সালে গরিব আইন সংশোধন করে নগদ সাহায্যও দেওয়া বন্ধ করে দেয়া হয়
2310071881,লতা-পাতা-ঘাস-গাছ ঘেরা সফেদ ভবনটি।,লতাপাতা ঘাস গাছঘেরার সফেদ ভবনটি,,2310301874,"বাঘ-ভাল্লুক হবে, তারপর? ।",পাক ভা লুক হবে তারপর
2310071920,যক্ষ্মা ধরা পড়ে তার!,যক্ষমা ধরে পড়ে তার,,2311021882,হ আম্মা। মুছছি। আবার মোছ।,হ্যাঁ আম্মা মুছি আবার মুছ
